,Rationales_metrics,attention,deepliftshap,scaled attention,gradientshap,random,lime,gradients,ig,deeplift,Domain,thresholder,mean-f1,Task
0,Sufficiency,0.5535664003295651,0.488664782334843,0.59154283920848,0.49413829014909,0.518714015445311,0.5245072243670641,0.5180863360342041,0.5209215430220571,0.463708518721437,SynD,topk,0.382289088704925,Xfact
1,Comprehensiveness,0.258887844418678,0.219622265084706,0.384934554856494,0.219405263449137,0.211865256967187,0.239898132548855,0.238275719053914,0.239242812061217,0.260539054952576,SynD,topk,0.382289088704925,Xfact
2,AOPC_sufficiency,0.401144048973855,0.363751905434955,0.455343944861356,0.373281635660289,0.393041833960077,0.405365698144639,0.402470969015415,0.405913022599328,0.355842780274487,SynD,topk,0.382289088704925,Xfact
3,AOPC_comprehensiveness,0.17909664432076,0.156654147077363,0.285998803173338,0.16791699394711,0.174916895779166,0.183807325241694,0.21257603222969,0.207450680192935,0.181756595281955,SynD,topk,0.382289088704925,Xfact
4,Sufficiency,0.5535664003295651,0.488664782334843,0.59154283920848,0.49413829014909,0.518714015445311,0.5245072243670641,0.5180863360342041,0.5209215430220571,0.463708518721437,SynD,contigious,0.382289088704925,Xfact
5,Comprehensiveness,0.258887844418678,0.219622265084706,0.384934554856494,0.219405263449137,0.211865256967187,0.239898132548855,0.238275719053914,0.239242812061217,0.260539054952576,SynD,contigious,0.382289088704925,Xfact
6,AOPC_sufficiency,0.401144048973855,0.363751905434955,0.455343944861356,0.373281635660289,0.393041833960077,0.405365698144639,0.402470969015415,0.405913022599328,0.355842780274487,SynD,contigious,0.382289088704925,Xfact
7,AOPC_comprehensiveness,0.17909664432076,0.156654147077363,0.285998803173338,0.16791699394711,0.174916895779166,0.183807325241694,0.21257603222969,0.207450680192935,0.181756595281955,SynD,contigious,0.382289088704925,Xfact
8,Sufficiency,0.616358169943101,0.5657109334218361,0.668906028783223,0.5682626309691861,0.59290242648822,0.5952857915117631,0.586399015974716,0.5994066707544771,0.5853380431530151,AsyD1,topk,0.374372055971775,Xfact
9,Comprehensiveness,0.21033061751088,0.192697555969208,0.319520098214674,0.180389516462633,0.165803007770463,0.184384655360456,0.206496341968165,0.205194094489573,0.206259441381501,AsyD1,topk,0.374372055971775,Xfact
10,AOPC_sufficiency,0.436427817903403,0.418772783529524,0.50838329795851,0.421111123733929,0.441702685949993,0.454140573529269,0.454307350712723,0.461521742936269,0.431666911422898,AsyD1,topk,0.374372055971775,Xfact
11,AOPC_comprehensiveness,0.142210295431743,0.143721126624549,0.240573280740968,0.138234297580297,0.138111485431165,0.146228719796214,0.174522463135064,0.170954380480672,0.149767123697843,AsyD1,topk,0.374372055971775,Xfact
12,Sufficiency,0.616358169943101,0.5657109334218361,0.668906028783223,0.5682626309691861,0.59290242648822,0.5952857915117631,0.586399015974716,0.5994066707544771,0.5853380431530151,AsyD1,contigious,0.374372055971775,Xfact
13,Comprehensiveness,0.21033061751088,0.192697555969208,0.319520098214674,0.180389516462633,0.165803007770463,0.184384655360456,0.206496341968165,0.205194094489573,0.206259441381501,AsyD1,contigious,0.374372055971775,Xfact
14,AOPC_sufficiency,0.436427817903403,0.418772783529524,0.50838329795851,0.421111123733929,0.441702685949993,0.454140573529269,0.454307350712723,0.461521742936269,0.431666911422898,AsyD1,contigious,0.374372055971775,Xfact
15,AOPC_comprehensiveness,0.142210295431743,0.143721126624549,0.240573280740968,0.138234297580297,0.138111485431165,0.146228719796214,0.174522463135064,0.170954380480672,0.149767123697843,AsyD1,contigious,0.374372055971775,Xfact
16,Sufficiency,0.602000075488576,0.554484758115355,0.6648573250740241,0.560584258194715,0.586893151502993,0.5941897976992431,0.5721511061282251,0.577696902745927,0.5765440146769161,AsyD2,topk,0.381663401339467,Xfact
17,Comprehensiveness,0.180371811434783,0.172407141760696,0.284704769579069,0.163218954368362,0.16073704266928,0.176492198276276,0.178961701007652,0.174937180819156,0.191852785054101,AsyD2,topk,0.381663401339467,Xfact
18,AOPC_sufficiency,0.430573469499233,0.412373597527838,0.502602910879289,0.416371397255595,0.440115008908157,0.451301223657439,0.4472072008183,0.450015560376321,0.42469012049002,AsyD2,topk,0.381663401339467,Xfact
19,AOPC_comprehensiveness,0.128973617117096,0.130375652117791,0.220803364895469,0.128153233367755,0.139455583125555,0.140453693853231,0.16001410285309,0.153301792087538,0.13965619066496,AsyD2,topk,0.381663401339467,Xfact
20,Sufficiency,0.602000075488576,0.554484758115355,0.6648573250740241,0.560584258194715,0.586893151502993,0.5941897976992431,0.5721511061282251,0.577696902745927,0.5765440146769161,AsyD2,contigious,0.381663401339467,Xfact
21,Comprehensiveness,0.180371811434783,0.172407141760696,0.284704769579069,0.163218954368362,0.16073704266928,0.176492198276276,0.178961701007652,0.174937180819156,0.191852785054101,AsyD2,contigious,0.381663401339467,Xfact
22,AOPC_sufficiency,0.430573469499233,0.412373597527838,0.502602910879289,0.416371397255595,0.440115008908157,0.451301223657439,0.4472072008183,0.450015560376321,0.42469012049002,AsyD2,contigious,0.381663401339467,Xfact
23,AOPC_comprehensiveness,0.128973617117096,0.130375652117791,0.220803364895469,0.128153233367755,0.139455583125555,0.140453693853231,0.16001410285309,0.153301792087538,0.13965619066496,AsyD2,contigious,0.381663401339467,Xfact
